"","atividade_indegree","atividade_outdegree","atividade_totaldegree","atividade_incloseness","atividade_outcloseness","atividade_totalcloseness","atividade_betweenness","atividade_eigenvector","atividade_reach_in_vec","atividade_reach_out_vec"
"155",9,18,27,0.000133457894034432,0.00127226463104326,0.00173310225303293,51.8,0.126,0.796791443850267,NA
"140",2,0,2,0.000135574837310195,2.87505031338048e-05,0.00133333333333333,0,0.02,0.802139037433155,NA
"141",2,0,2,0.000135574837310195,2.87505031338048e-05,0.00133333333333333,0,0.02,0.802139037433155,NA
"38",6,3,9,0.000134661998384056,0.00119617224880383,0.001669449081803,63.3,0.161,0.796791443850267,NA
"48",6,7,13,0.000134661998384056,0.00121654501216545,0.00167785234899329,7.1,0.161,0.796791443850267,NA
"62",7,3,10,0.000134680134680135,0.00117924528301887,0.0016750418760469,1.7,0.17,0.796791443850267,NA
"142",2,0,2,0.000135574837310195,2.87505031338048e-05,0.00133333333333333,0,0.02,0.802139037433155,NA
"143",3,0,3,0.000135832654170062,2.87505031338048e-05,0.00138121546961326,0,0.034,0.802139037433155,NA
"65",9,5,14,0.000134752728742757,0.00121654501216545,0.0017636684303351,79.6,0.166,0.796791443850267,NA
"66",8,5,13,0.000134680134680135,0.00121802679658952,0.00167224080267559,13.3,0.165,0.796791443850267,NA
"6",8,6,14,0.000134807225667296,0.00119189511323004,0.00166112956810631,14.3,0.168,0.796791443850267,NA
"21",9,4,13,0.000134716421931833,0.00118483412322275,0.0016750418760469,12.5,0.18,0.796791443850267,NA
"25",7,2,9,0.000134770889487871,0.00118063754427391,0.00165837479270315,0.3,0.14,0.796791443850267,NA
"29",6,4,10,0.000134770889487871,0.00118343195266272,0.00165562913907285,2.6,0.155,0.796791443850267,NA
"41",7,4,11,0.000134680134680135,0.00120627261761158,0.0016750418760469,5.3,0.171,0.796791443850267,NA
"43",6,8,14,0.000134661998384056,0.00121802679658952,0.00167224080267559,5.6,0.152,0.796791443850267,NA
"45",6,8,14,0.000134661998384056,0.00122249388753056,0.00167785234899329,5.8,0.152,0.796791443850267,NA
"56",7,5,12,0.000134734572891404,0.00118764845605701,0.00167224080267559,68.6,0.154,0.796791443850267,NA
"57",14,5,19,0.000134861766689144,0.00118764845605701,0.00169204737732657,72.8,0.185,0.796791443850267,NA
