"","var5_indegree","var5_outdegree","var5_totaldegree","var5_incloseness","var5_outcloseness","var5_totalcloseness","var5_betweenness","var5_eigenvector","var5_reach_in_vec","var5_reach_out_vec"
"63",3,0,3,2.92192613370734e-05,2.87505031338048e-05,0.000102030405060708,0,0,0.0213903743315508,NA
"152",0,1,1,2.87505031338048e-05,2.95368620037807e-05,0.000101677681748856,0,0,0.0053475935828877,NA
"171",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"193",2,0,2,2.93772032902468e-05,2.87505031338048e-05,0.000100391526955125,0,0,0.0267379679144385,NA
"20",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.00010112245929821,0,0,0.0106951871657754,NA
"189",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"1",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"7",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"9",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"13",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"14",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"77",1,1,2,2.9060474848159e-05,2.89050757312984e-05,0.000100796290696502,0.5,0,0.0160427807486631,NA
"84",2,1,3,2.90613193839e-05,2.89050757312984e-05,0.000101750101750102,1.5,0,0.0160427807486631,NA
"4",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"10",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"11",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"69",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.000101564086938858,0,0,0.0106951871657754,NA
"72",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"74",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"75",3,0,3,2.92192613370734e-05,2.87505031338048e-05,0.000102061645233721,0,0,0.0213903743315508,NA
"78",2,0,2,2.9218407596786e-05,2.87505031338048e-05,0.000100796290696502,0,0,0.0213903743315508,NA
"79",1,0,1,2.9060474848159e-05,2.87505031338048e-05,0.000100775975007558,0,0,0.0160427807486631,NA
"82",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"83",1,0,1,2.9060474848159e-05,2.87505031338048e-05,0.000100775975007558,0,0,0.0160427807486631,NA
"85",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"86",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"87",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"88",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"89",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"90",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"92",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"93",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"94",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"95",1,0,1,2.9060474848159e-05,2.87505031338048e-05,0.000100775975007558,0,0,0.0160427807486631,NA
"96",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"97",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"98",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"99",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"100",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"101",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"103",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"106",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"108",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"111",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"167",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,0.0053475935828877
