"";"from";"to";"var0";"var1";"var2";"var3";"var4";"var5";"var6";"var7";"var8";"var9";"var10";"var11";"var12";"var13";"var14";"var15";"var16";"var17";"var18";"var19";"var20";"var21";"var22";"var23";"var24";"atividade";"acesso";"confianca";"total"
"30633";159;172;0;1;1;0;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;2;24;24;50
"30637";163;172;1;1;1;1;1;0;0;3;3;2;2;2;3;1;2;2;2;3;3;2;2;2;2;3;3;4;22;20;46
"30642";169;172;1;1;0;1;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;2;1;1;2;24;19;45
"30643";170;172;1;1;1;1;0;0;0;3;3;3;3;3;3;1;1;1;2;3;3;3;3;3;3;3;3;3;23;24;50
"30657";184;172;1;1;1;1;1;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;4;24;24;52
"30659";186;172;0;1;0;1;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;2;24;24;50
"30661";188;172;0;1;1;0;0;0;0;2;3;3;2;3;3;1;1;3;2;3;2;3;3;3;2;3;3;2;23;22;47
"30665";192;172;0;0;0;0;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;0;24;24;48
"30667";194;172;0;0;0;0;0;0;0;2;3;2;2;3;1;1;1;1;2;2;2;3;2;2;2;3;3;0;18;19;37
"30668";195;172;0;0;0;0;0;0;0;2;3;2;2;3;1;1;1;1;2;2;2;3;2;2;2;3;3;0;18;19;37
"30699";31;173;1;1;0;0;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;1;24;24;49
"30703";35;173;1;1;1;0;0;0;0;3;3;3;2;2;2;3;3;3;3;3;3;3;3;3;1;3;3;2;27;22;51
"30723";55;173;1;1;1;1;0;0;0;3;3;3;2;2;2;3;3;2;3;3;3;3;3;3;3;3;3;3;26;24;53
"30729";61;173;1;1;1;0;0;0;0;3;3;3;1;1;3;3;3;3;3;3;3;3;3;3;1;3;3;2;26;22;50
"30730";62;173;0;1;0;1;0;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;2;30;23;55
"30782";117;173;0;0;0;0;0;0;0;2;3;3;3;3;1;1;2;2;3;3;3;3;3;3;2;3;3;0;23;23;46
"30815";153;173;1;0;0;1;0;0;0;2;3;3;2;1;1;1;1;2;1;2;1;3;3;1;1;3;3;1;17;17;35
"30816";155;173;1;1;1;0;0;0;0;3;3;2;2;2;3;1;3;2;3;3;3;3;3;3;3;3;3;2;24;24;50
"30819";158;173;1;1;1;1;1;0;0;3;3;2;1;3;1;1;2;1;1;1;1;3;2;3;2;3;3;4;18;18;40
"30824";163;173;1;1;1;1;1;0;0;3;3;2;2;2;3;1;2;2;2;3;3;2;2;2;2;3;3;4;22;20;46
"30829";169;173;1;1;0;1;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;2;1;1;2;24;19;45
"30830";170;173;1;1;1;1;0;0;0;3;3;3;3;3;3;1;1;1;2;3;3;3;3;3;3;3;3;3;23;24;50
"30835";175;173;0;0;1;0;0;0;0;3;3;2;3;3;3;1;1;1;2;2;2;3;3;3;1;3;3;1;22;20;43
"30836";176;173;1;1;1;1;0;0;0;3;3;1;3;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;20;24;47
"30837";177;173;1;1;1;0;0;0;0;2;3;2;2;3;3;1;1;1;3;3;3;3;2;3;1;3;3;2;21;21;44
"30839";179;173;0;0;0;0;0;0;0;3;3;3;3;2;3;1;3;1;2;2;2;2;2;3;1;3;3;0;24;18;42
"30844";184;173;1;1;1;1;1;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;4;24;24;52
"30847";187;173;1;0;0;1;1;0;0;3;3;3;1;3;3;1;1;1;3;3;3;3;3;3;3;3;3;2;22;24;48
"30852";192;173;1;0;0;0;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;0;24;24;48
"30854";194;173;0;0;0;0;0;0;0;2;3;2;2;3;1;1;1;1;2;2;2;3;2;2;2;3;3;0;18;19;37
"30855";195;173;0;0;0;0;0;0;0;2;3;2;2;3;1;1;1;1;2;2;2;3;2;2;2;3;3;0;18;19;37
"30892";37;174;1;1;0;1;1;0;0;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;3;29;23;55
"30894";39;174;1;1;1;1;0;0;1;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;4;28;24;56
"30895";40;174;1;1;1;1;0;0;0;1;1;3;3;1;1;3;2;2;3;3;3;3;3;2;1;3;3;3;20;21;44
"30896";41;174;1;1;1;1;0;0;0;3;3;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;1;3;20;22;45
"30898";43;174;1;1;1;1;0;0;1;3;3;3;1;1;2;3;1;3;3;3;3;3;3;3;1;3;3;4;23;22;49
"30900";45;174;1;1;1;1;0;0;1;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;4;24;24;52
"30915";60;174;1;0;0;0;0;0;0;1;3;2;1;1;1;1;1;1;3;3;3;3;3;2;2;3;3;0;15;22;37
"30916";61;174;1;1;1;1;0;0;0;3;3;3;1;1;3;3;3;3;3;3;3;3;3;3;1;3;3;3;26;22;51
"30917";62;174;0;1;1;1;0;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;30;23;56
"30988";139;174;1;1;1;1;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;2;3;3;3;3;3;3;24;23;50
"31003";155;174;1;1;1;0;0;0;0;3;3;2;2;2;3;1;3;2;3;3;3;3;3;3;3;3;3;2;24;24;50
"31006";158;174;1;1;1;1;1;0;0;3;3;1;1;3;1;1;2;1;1;1;1;3;2;3;2;3;3;4;17;18;39
"31011";163;174;1;1;1;1;1;0;0;3;3;2;2;2;3;1;2;2;2;3;3;2;2;2;2;3;3;4;22;20;46
"31016";169;174;1;1;0;1;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;2;1;1;2;24;19;45
"31017";170;174;1;1;1;1;0;0;0;3;3;3;3;3;3;1;1;1;2;3;3;3;3;3;3;3;3;3;23;24;50
"31023";176;174;1;1;1;1;0;0;0;3;3;1;3;1;3;1;1;3;3;3;3;3;3;3;3;3;3;3;22;24;49
"31026";179;174;0;0;1;1;0;0;0;3;3;3;3;2;3;1;3;1;2;3;2;3;3;3;1;3;3;2;24;21;47
"31031";184;174;1;1;1;1;1;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;4;24;24;52
"31035";188;174;0;1;1;1;0;0;0;2;3;3;2;3;3;1;1;3;2;3;2;3;3;3;2;3;3;3;23;22;48
"31039";192;174;1;0;0;0;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;0;24;24;48
"31041";194;174;0;0;0;0;0;0;0;2;3;2;2;3;1;1;1;1;2;2;2;3;2;2;2;3;3;0;18;19;37
"31042";195;174;0;0;0;0;0;0;0;2;3;2;2;3;1;1;1;1;2;2;2;3;2;2;2;3;3;0;18;19;37
"31044";2;175;1;1;1;0;0;0;0;2;3;2;2;3;2;3;2;3;3;3;3;3;3;2;3;3;3;2;25;23;50
"31058";16;175;0;1;1;0;0;0;0;3;3;2;2;3;2;3;3;3;3;3;3;3;3;3;3;3;3;2;27;24;53
"31079";37;175;1;1;0;0;0;0;0;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;1;29;23;53
"31082";40;175;1;1;1;1;0;0;0;1;1;3;3;1;1;3;2;2;3;3;3;3;3;2;1;3;3;3;20;21;44
"31084";42;175;1;1;1;0;0;0;0;3;3;3;3;1;2;1;3;3;3;3;3;3;3;3;1;3;3;2;25;22;49
"31156";117;175;0;0;0;0;0;0;0;3;3;3;3;3;3;1;2;2;3;3;3;3;3;3;2;3;3;0;26;23;49
"31189";153;175;1;0;1;1;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;2;24;24;50
"31190";155;175;1;1;1;1;0;0;0;3;3;3;2;2;3;1;3;2;3;3;3;3;3;3;3;3;3;3;25;24;52
"31198";163;175;1;0;1;0;0;0;0;3;3;2;2;2;3;1;2;2;2;1;1;2;2;2;2;3;3;1;22;16;39
"31200";165;175;0;0;0;1;0;0;0;3;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;1;28;24;53
"31204";170;175;1;1;1;1;0;0;0;3;3;3;3;3;3;1;1;1;2;3;3;3;3;3;3;3;3;3;23;24;50
"31208";174;175;1;1;1;1;0;0;0;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;28;24;55
"31210";176;175;1;1;1;1;0;0;0;3;3;3;3;1;3;1;1;1;2;3;2;3;3;3;3;3;3;3;21;23;47
"31211";177;175;1;1;1;0;0;0;0;3;3;3;3;3;2;2;1;2;3;3;3;3;3;2;3;3;3;2;25;23;50
"31213";179;175;1;1;1;0;0;0;0;3;3;3;3;3;3;1;3;1;3;2;2;3;3;3;2;3;3;2;26;21;49
"31218";184;175;1;1;1;1;0;1;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;2;3;3;4;24;23;51
"31222";188;175;0;1;1;0;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;2;24;24;50
"31225";191;175;1;1;0;0;0;0;0;2;1;1;1;1;3;1;2;1;2;2;2;3;3;3;2;3;3;1;15;21;37
"31228";194;175;0;0;0;0;0;0;0;2;3;2;2;3;1;1;1;1;2;2;2;3;2;2;2;3;3;0;18;19;37
"31229";195;175;0;0;0;0;0;0;0;2;3;2;2;3;1;1;1;1;2;2;2;3;2;2;2;3;3;0;18;19;37
"31266";37;176;1;1;0;0;0;0;0;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;1;29;23;53
"31272";43;176;1;1;0;0;0;0;0;1;3;3;1;1;2;3;1;3;3;3;2;3;3;3;1;3;3;1;21;21;43
"31274";45;176;1;1;1;1;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;3;24;24;51
"31343";117;176;0;0;0;0;0;0;0;3;3;3;3;3;3;1;2;2;3;3;3;3;3;3;2;3;3;0;26;23;49
"31376";153;176;1;0;1;1;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;2;24;24;50
"31377";155;176;1;1;1;1;0;0;0;3;3;3;2;2;3;1;3;2;3;3;3;3;3;3;3;3;3;3;25;24;52
"31385";163;176;1;0;1;0;0;0;0;3;3;2;2;2;3;1;2;2;2;1;1;2;2;2;2;3;3;1;22;16;39
"31387";165;176;0;0;0;1;0;0;0;3;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;1;28;24;53
"31391";170;176;1;1;1;1;0;0;0;3;3;3;3;3;3;1;1;1;2;3;3;3;3;3;3;3;3;3;23;24;50
"31395";174;176;1;1;1;1;0;0;0;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;28;24;55
"31397";176;176;1;1;1;1;0;0;0;3;3;3;3;1;3;1;1;1;2;3;2;3;3;3;3;3;3;3;21;23;47
"31398";177;176;1;1;1;0;0;0;0;3;3;3;3;3;2;2;1;2;3;3;3;3;3;2;3;3;3;2;25;23;50
"31400";179;176;1;1;1;0;0;0;0;3;3;3;3;3;3;1;3;1;3;2;2;3;3;3;2;3;3;2;26;21;49
"31405";184;176;1;1;1;1;0;1;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;2;3;3;4;24;23;51
